,id,name,main_trail,locality,walk,bike,off_road_v,mobility_a,horse,dog_access,dog_weblin,conditions,status,descriptio,weblink,image_link,managed_by,data_suppl,spatial_ac,date_modif,local_auth,geometry,affected_area,affected_length
17712,F485__509605,Tahakopa Bay Track,,,,99.0,99.0,,99.0,,,,,Tahakopa Bay Track,,,DOC,DOC,,,,"LINESTRING (1331718.6334302684 4838153.986880933, 1331720.5393000003 4838145.5011)",0.0,8.697172958891704
6999,,Milton to Brighton (Dunedin),Lawrence to Dunedin,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"MULTILINESTRING ((1390316.4823844458 4906497.167565884, 1390299.9921585862 4906482.104365888), (1390229.2627771513 4906407.0162532125, 1390218.2413019848 4906393.293069246), (1386459.288824003 4900985.282271666, 1386452.7794834492 4900979.600582683))",0.0,48.57574943574106
6152,4280,Oreti Beach SDC,,,3.0,3.0,,,99.0,,,,open,,http://www.teararoa.org.nz/southland/oreti-beach-track,,10,Kim Ollivier,,,Southland District,"MULTILINESTRING ((1217346.842604573 4854377.929742184, 1217361.5512212738 4854393.225102425), (1220475.1587937053 4856383.080212019, 1220482.6914278367 4856384.341228743), (1226744.143532618 4854774.240570852, 1226760.6792765066 4854764.082404401), (1226764.5122059386 4854761.7277758205, 1226788.6489746296 4854746.900180788), (1226802.0748869993 4854738.652432545, 1226837.7644469577 4854716.727776901), (1226839.123658693 4854715.892791844, 1226868.4568064706 4854697.872979755), (1226887.3325229746 4854686.277331478, 1226896.7924045566 4854680.465978064), (1227125.8964529142 4854542.105209424, 1227184.4736028474 4854507.076898176), (1227615.6305026442 4854245.216625311, 1227817.6850344692 4854096.8622159865), (1227832.758966593 4854085.794489486, 1227856.150037764 4854068.6200736705), (1228037.344160219 4853934.006962279, 1228060.9221 4853913.8102, 1228074.862382047 4853901.867855154), (1228311.4731248352 4853698.8907054, 1228366.188225801 4853651.897665633), (1228395.058353664 4853627.1020417055, 1228411.3098630912 4853613.144143149), (1228930.288697329 4853123.970328991, 1228938.6243000003 4853114.7538, 1228944.1006732006 4853108.696668386))",0.0,675.4882523153801
18045,,Brighton to Dunedin,Lawrence to Dunedin,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1393641.87651421 4908757.299567322, 1393640.9982000003 4908753.5732, 1393629.4840000002 4908731.6527, 1393584.2455000002 4908683.7127, 1393561.0831000004 4908643.3162, 1393558.5761000002 4908599.6387, 1393572.0429999996 4908566.0511, 1393576.1999000004 4908557.2681, 1393567.7383000003 4908534.1256, 1393542.3745999997 4908523.992, 1393528.8247999996 4908528.1537, 1393521.3372 4908532.2944, 1393512.0564000001 4908534.2401, 1393506.8928071645 4908536.350105868)",0.0,320.4683316950269
17035,3535068,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1405575.6401714454 4912798.164904214, 1405593.1462000003 4912805.6884, 1405752.347 4912858.486, 1405798.5624652607 4912877.362714657), (1405859.040703764 4912892.517320193, 1405867.585759701 4912894.714625902), (1405936.3789480051 4912905.868337259, 1406037.0767 4912929.6011, 1406073.4424 4912941.7229, 1406147.2511999998 4912953.0367, 1406202.2038000003 4912965.6973, 1406245.7482107438 4912977.999123208), (1406246.218338499 4912978.13193999, 1406262.2745000003 4912982.668, 1406308.7122797817 4912986.484766076), (1406451.1881092691 4913011.6529352395, 1406491.9205606545 4913021.237030984))",0.0,668.7516828953203
12980,3586056,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1417825.4865511039 4914675.625654572, 1417790.7803999996 4914639.7307)",0.0,49.92959731626661
18209,F485__512046,Sandfly Bay Walking Track,,,3.0,99.0,99.0,,99.0,,,,,Sandfly Bay Walking Track,,,DOC,DOC,,,,"LINESTRING (1416921.8015876538 4914910.725637646, 1416921.5138999997 4914909.3912, 1416917.886 4914891.8982, 1416917.2664 4914888.9882, 1416916.8210000005 4914887.0607, 1416916.5780999996 4914886.1049, 1416916.3139000004 4914885.1573, 1416916.0199999996 4914884.2213, 1416915.6853 4914883.3013, 1416915.3091000002 4914882.4191, 1416914.8932999996 4914881.5523, 1416914.4484 4914880.6968, 1416913.9824 4914879.8496, 1416913.0099 4914878.1709, 1416910.0054000001 4914873.1711, 1416909.0494 4914871.4912, 1416908.5997000001 4914870.6426, 1416908.1802000003 4914869.7848, 1416907.8030000003 4914868.9142, 1416907.4841999998 4914868.0258, 1416907.2419999996 4914867.1348, 1416907.0575 4914866.2263, 1416906.9157999996 4914865.3047, 1416906.8058000002 4914864.3736, 1416906.648 4914862.4922, 1416906.4921000004 4914859.6456, 1416906.0593999997 4914849.1652)",0.0,64.42798269275211
10752,3575070,Sandfly Bay Track,Sandfly Bay Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1416923.0069144475 4914911.207218443, 1416916.0199999996 4914884.2211, 1416907.2419999996 4914867.1346, 1416906.0593999997 4914849.165)",0.0,65.09382236528086
7355,F485__511059,Sandymount To Sandfly Bay Track,,,5.0,99.0,99.0,,99.0,,,,,Sandymount to Sandfly Bay Track,,,DOC,DOC,,,,"LINESTRING (1417825.4835686423 4914675.626520781, 1417811.4660999998 4914661.1377, 1417790.7803999996 4914639.7309)",0.0,49.92800535130745
8183,F485__511064,Allans Beach Access Walking Track,,,3.0,99.0,99.0,,99.0,,,,,Allans Beach Access Walking Track,,,DOC,DOC,,,,"LINESTRING (1421531.187 4917234.7653, 1421531.233021976 4917243.841112665)",0.0,9.07592934905745
