,alphaModif,assetCarri,assetCwayE,assetCwa_1,assetCwayS,assetCwa_2,assetRCAID,assetRoadI,carriagewa,carriage_1,changeDate,createdDat,endName,fullRoadNa,geomModifi,hvyVehicle,hvyVehic_1,ID,ONRCClass,retiredDat,startName,surfaceTyp,trafficVol,vehicleKil,width,TACode,TAName,geometry,affected_area,affected_length
47999,2017/12/21,1964,1471284.227434,5098455.369309,1470484.037156,5098648.185454,Local Authority,1001,3788,2975,0000/00/00,2016/08/04,END OF FORMATION,WHITE ROAD,2016/08/04,0.0,0.0,795130,Low Volume,2500/01/01,PRATTLEY RD,Unsealed,14.0,11.0,3.8,064,Timaru District,"LINESTRING Z (1471236.6807604574 5098495.020498552 0, 1471286.6979999999 5098453.309 0)",0.0,65.12736262816118
47876,2017/03/23,1962,1471517.68696,5098659.372176,1470797.41,5099336.08,Local Authority,549,4150,3142,0000/00/00,2016/08/04,END OF FORMATION,MACAULAY ROAD,2016/08/04,2.0,3.8,787251,Low Volume,2500/01/01,PRATTLEY RD,Unsealed,53.0,53.0,3.8,064,Timaru District,"LINESTRING Z (1471480.3055632904 5098728.062898586 0, 1471511.8080000002 5098662.335 0)",0.0,72.88731145498957
187119,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1487310.8190000001 5111313.751 0, 1487293.9689999996 5111298.764 0, 1487262.1399999997 5111276.906 0, 1487209.7120000003 5111246.927 0, 1487192.238 5111231.315 0, 1487134.8320000004 5111155.14 0, 1487109.2460000003 5111127.666 0, 1487088.4819999998 5111111.857 0, 1486953.4800000004 5111057.721 0, 1486867.0501844266 5111022.42980816 0)",0.0,542.821762406373
187118,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1487319.6849999996 5111323.997 0, 1487310.8190000001 5111313.751 0)",0.0,13.549408547829856
106791,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1487382.8194931422 5111407.177115277 0, 1487337.011 5111344.017 0, 1487319.6849999996 5111323.997 0)",0.0,104.49941868744084
187217,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1488946.5319999997 5112499.674 0, 1488829.3041263067 5112444.47125583 0)",0.0,129.5751416533575
187216,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1488959.9129999997 5112508.933 0, 1488957.0360000003 5112504.62 0, 1488946.5319999997 5112499.674 0)",0.0,16.794713664609873
106790,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1488977.806338646 5112535.756860988 0, 1488959.9129999997 5112508.933 0)",0.0,32.24424113256372
107934,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1489569.0332151337 5112904.841793682 0, 1489580.4620000003 5112897.361 0, 1489588.5310000004 5112894.065 0)",0.0,22.37562038420578
187000,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1500717.8987874584 5119532.205017699 0, 1500727.9689999996 5119516.314 0)",0.0,18.813123720524118
92427,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1504460.1449999996 5121722.236 0, 1504457.0215778942 5121719.616355653 0)",0.0,4.0765551818894314
107936,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,063,Ashburton District,"LINESTRING Z (1508972.2007225319 5124520.8482124945 0, 1508972.2649999997 5124520.559 0)",0.0,0.2962692350571084
159936,2016/08/04,6528,1324789.5505,5165762.3289,1326443.4181,5167829.2616,Crown,567,9767,6850,0000/00/00,2016/08/04,BRUCE BAY (SOUTH),006-0670,2016/08/04,50.0,6.9,1457750,Arterial,2500/01/01,BRUCE BAY (NORTH),Thin Surfaced Flexible,723.0,2109.0,6.3,900,RAMM StateHighways,"MULTILINESTRING Z ((1326430.753914802 5167833.18046038 0, 1326396.7328026663 5167829.206726482 0), (1326311.281638986 5167819.192770682 0, 1326285.199 5167812.432 0, 1326177.9579999996 5167745.185 0, 1325993.4330000002 5167596.804 0, 1325785.654 5167426.279 0, 1325447.9500000002 5167148.744 0, 1325399.256 5167114.64 0, 1325347.596 5167091.251 0, 1325207.2489999998 5167044.472 0, 1325188.7414205412 5167032.600348896 0), (1325156.8048036855 5167012.114667687 0, 1325155.5939999996 5167011.338 0, 1325122.455 5166989.899 0, 1325066.898 5166909.98 0, 1325061.4416302885 5166901.113267997 0))",0.0,1565.206074137116
584,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1331906.6635414814 5172419.452263363 0, 1331882.9979999997 5172435.093 0, 1331848.602 5172461.511 0, 1331825.7300000004 5172484.383 0)",0.0,104.08340517090369
305,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1342465.4760925928 5188139.086029073 0, 1342459.9189999998 5188141.517 0)",0.0,6.065550076830978
1044,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1420295.1931032755 5250037.2041128855 0, 1420288.0889999997 5250047.117 0, 1420282.1030000001 5250057.094 0, 1420279.1100000003 5250064.327 0, 1420276.6160000004 5250073.555 0, 1420275.739 5250080.686 0)",0.0,48.40221698820603
80,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1420275.739 5250080.686 0, 1420287.6040000003 5250087.494 0, 1420291.637 5250091.67 0, 1420296.534 5250097.863 0, 1420299.7019999996 5250103.912 0, 1420303.3030000003 5250111.114 0, 1420305.4630000005 5250118.027 0, 1420309.0640000002 5250131.853 0, 1420311.3679999998 5250139.919 0, 1420313.528 5250145.391 0, 1420316.1210000003 5250150.864 0, 1420319.2889999999 5250154.897 0, 1420326.347 5250163.395 0, 1420336.716 5250174.917 0, 1420342.3329999996 5250182.406 0, 1420348.9589999998 5250192.055 0, 1420356.7359999996 5250203.721 0, 1420360.7690000003 5250209.05 0, 1420365.9529999997 5250214.523 0, 1420374.1629999997 5250222.589 0, 1420380.2120000003 5250228.494 0, 1420383.38 5250232.094 0, 1420385.9730000002 5250236.271 0, 1420389.1409999998 5250243.472 0, 1420393.4620000003 5250255.282 0, 1420397.2070000004 5250262.916 0, 1420401.8159999996 5250268.965 0, 1420409.5930000003 5250277.03 0, 1420421.1150000002 5250288.984 0, 1420439.216 5250305.997 0)",0.0,283.9757089852221
231,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"LINESTRING Z (1432492.7510000002 5268173.005 0, 1432530.7850000001 5268193.485 0, 1432554.483 5268212.209 0, 1432594.5650000004 5268244.684 0, 1432624.114 5268266.626 0, 1432640.205 5268271.892 0, 1432652.4929999998 5268273.94 0, 1432674.8653965788 5268274.811974262 0)",0.0,213.5689941486047
99,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,057,Westland District,"MULTILINESTRING Z ((1445342.6968640916 5284674.996310801 0, 1445335.904 5284677.262 0, 1445329.3049999997 5284682.921 0, 1445329.307 5284693.291 0, 1445333.0810000002 5284704.604 0, 1445340.361742912 5284720.976344964 0), (1445538.0171672401 5285107.45148026 0, 1445554.2649999997 5285133.542 0, 1445583.5010000002 5285174.078 0, 1445593.7640000004 5285188.527 0))",0.0,154.50618123158634
102956,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,056,Grey District,"LINESTRING Z (1451499.6738811142 5299869.290973997 0, 1451483.7491312511 5299873.277420252 0)",0.0,16.4161326732407
102698,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,056,Grey District,"MULTILINESTRING Z ((1452368.3213353462 5301177.460280543 0, 1452371.8424958093 5301191.467412574 0), (1452378.305461559 5301217.177009032 0, 1452378.54 5301218.11 0, 1452384.5617462446 5301239.963935962 0), (1452388.820582281 5301253.792181921 0, 1452391.6519999998 5301262.817 0, 1452396.2891874635 5301272.973384201 0), (1452439.5188320554 5301385.75959227 0, 1452443.0520000001 5301410.871 0, 1452446.7999999998 5301433.953 0, 1452452.2130000005 5301458.283 0, 1452454.767242633 5301468.198440173 0), (1452465.1226697576 5301513.0293855565 0, 1452468.6496126326 5301529.625102991 0), (1452473.4053746066 5301551.272162349 0, 1452483.5936791382 5301597.571832366 0), (1452489.4909523893 5301624.353872738 0, 1452514.4579999996 5301737.554 0, 1452516.870613401 5301748.5016278485 0), (1452520.8571778242 5301766.591315851 0, 1452534.0259999996 5301826.347 0, 1452544.4349999996 5301874.382 0, 1452554.8449999997 5301923.25 0, 1452562.8509999998 5301962.122 0, 1452565.6969999997 5301978.761 0, 1452580.0369999995 5302046.562 0, 1452590.0377343558 5302089.300903451 0), (1452591.1511851286 5302094.0593205225 0, 1452591.2769999998 5302094.597 0, 1452614.1730000004 5302181.726 0, 1452620.4189999998 5302212.71 0, 1452625.0020000003 5302244.526 0, 1452628.9579999996 5302268.024 0, 1452637.0769999996 5302304.622 0, 1452642.6969999997 5302324.585 0, 1452649.9790000003 5302339.764 0, 1452663.2920000004 5302357.021 0, 1452666.5953456538 5302362.375364087 0), (1452717.622380186 5302595.5045764195 0, 1452721.58 5302611.13 0, 1452722.2323826111 5302613.726487847 0))",0.0,964.339993350391
132356,2016/08/04,6674,1462159.5211,5335224.8216,1461912.368,5335863.2107,Crown,547,13304,12542,0000/00/00,2016/08/04,PUNAKAIKI RIVER BR (NORTH ABUT),006-0374,2016/08/04,95.0,10.0,1456342,Arterial,2500/01/01,PUNAKAIKI (SOUTH),Thin Surfaced Flexible,951.0,725.0,7.0,900,RAMM StateHighways,"LINESTRING Z (1462059.7667280205 5335680.61521891 0, 1462063.6979999999 5335670.684 0, 1462065.9249999998 5335664.133 0, 1462067.7599999998 5335656.403 0, 1462068.8080000002 5335645.004 0, 1462068.8080000002 5335637.536 0, 1462068.0219999999 5335627.448 0, 1462061.864 5335600.982 0, 1462055.5750000002 5335574.909 0, 1462042.6040000003 5335524.597 0, 1462038.0860000001 5335502.46 0, 1462033.2759999996 5335482.7 0, 1462028.596 5335463.33 0, 1462025.6059999997 5335450.2 0, 1462023.5259999996 5335440.19 0, 1462022.2259999998 5335432.39 0, 1462020.796 5335423.29 0, 1462019.886 5335413.8 0, 1462019.4960000003 5335402.62 0, 1462019.6260000002 5335392.61 0, 1462020.2759999996 5335384.55 0, 1462021.4460000005 5335376.23 0, 1462023.3959999997 5335366.09 0, 1462025.9960000003 5335357.12 0, 1462029.3760000002 5335347.37 0, 1462033.1459999997 5335338.53 0, 1462038.216 5335328.91 0, 1462044.1960000005 5335318.51 0, 1462049.9160000002 5335309.8 0, 1462055.7659999998 5335302.78 0, 1462063.046 5335294.33 0, 1462069.9359999998 5335287.31 0, 1462080.596 5335278.73 0, 1462092.0360000003 5335270.15 0, 1462110.1059999997 5335258.58 0, 1462124.6853928387 5335249.670371043 0)",0.0,480.9562163431127
42496,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1462335.9971561527 5336738.510704552 0, 1462302.892 5336751.137 0)",0.0,35.431267274043535
41126,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1462368.8779999996 5337011.87 0, 1462365.5300000003 5337006.168 0, 1462362.4510000004 5337000.923 0, 1462343.4100000001 5336952.122 0, 1462333.7180000003 5336923.616 0, 1462331.3229999999 5336916.205 0, 1462330.5250000004 5336910.504 0, 1462330.4670000002 5336905.579 0, 1462326.4780000001 5336872.849 0, 1462320.5729999999 5336843.854 0, 1462314.665 5336802.572 0, 1462302.892 5336751.137 0, 1462298.5920000002 5336726.427 0, 1462281.4110000003 5336661.639 0)",0.0,362.7961351765298
40818,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1462362.1088573209 5336891.622991802 0, 1462334.148 5336903.955 0, 1462330.4670000002 5336905.579 0)",0.0,34.58290475340245
40868,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1462400.7686117562 5336994.503501954 0, 1462372.637 5337009.823 0, 1462368.8779999996 5337011.87 0)",0.0,36.31262001857232
132354,2016/08/04,6672,1461972.6619,5336288.5119,1464472.2397,5341326.8728,Crown,547,12100,5280,0000/00/00,2016/08/04,PUNAKAIKI (NORTH),006-0374,2018/09/06,156.0,12.0,1456320,Arterial,2500/01/01,MEYBILLE BAY,Thin Surfaced Flexible,1301.0,8873.0,7.4,900,RAMM StateHighways,"MULTILINESTRING Z ((1462243.0091462545 5336497.331757085 0, 1462229.295 5336484.631 0, 1462213.3059999999 5336471.249 0, 1462189.1279999996 5336451.501 0, 1462178.2077860858 5336442.633772895 0), (1462138.109996844 5336412.727952826 0, 1462113.5159999998 5336396.261 0, 1462110.4576220415 5336394.177541597 0), (1462099.4427394974 5336386.673874648 0, 1462095.8229999999 5336384.208 0, 1462079.4570000004 5336374.145 0, 1462073.8679777666 5336370.063117068 0))",0.0,148.63816624722327
132353,2016/08/04,6670,1464472.2397,5341326.8728,1466115.6636,5345433.6661,Crown,547,5280,96,0000/00/00,2016/08/04,MEYBILLE BAY,006-0374,2016/08/04,156.0,12.0,1456314,Arterial,2500/01/01,FOX RIVER BR (SOUTH ABUT),Thin Surfaced Flexible,1301.0,6744.0,6.6,900,RAMM StateHighways,"LINESTRING Z (1466116.5199999996 5345431.078 0, 1466091.2429999998 5345422.712 0, 1466033.932 5345404.039 0, 1466027.6789999995 5345402.723 0, 1466017.312 5345401.9 0, 1466005.1349999998 5345401.407 0, 1465983.2489999998 5345402.888 0, 1465962.6799999997 5345404.369 0, 1465953.7939999998 5345404.369 0, 1465939.3140000002 5345404.369 0, 1465929.7699999996 5345403.71 0, 1465920.7189999996 5345402.065 0, 1465912.6560000004 5345399.926 0, 1465905.0870000003 5345397.457 0, 1465895.8720000004 5345393.344 0, 1465886.6569999997 5345388.078 0, 1465877.6059999997 5345381.66 0, 1465860.6569999997 5345367.344 0, 1465834 5345342.003 0, 1465771.8677687265 5345281.309248492 0)",0.0,394.49529055394635
132352,2016/08/04,6669,1466115.6636,5345433.6661,1466206.5534,5345463.5634,Crown,547,96,0,0000/00/00,2016/08/04,FOX RIVER BR (SOUTH ABUT),006-0374,2016/08/04,156.0,12.0,1456308,Arterial,2500/01/01,FOX RIVER BR (NORTH ABUT),Thin Surfaced Flexible,1301.0,125.0,3.2,900,RAMM StateHighways,"LINESTRING Z (1466157.4196061234 5345444.614462915 0, 1466147.511 5345441.335 0, 1466116.5199999996 5345431.078 0)",0.0,43.08147640621545
132351,2016/08/04,6675,1466206.5534,5345463.5634,1469403.1428,5353979.6356,Crown,546,10937,0,0000/00/00,2016/08/04,FOX RIVER BR (NORTH ABUT),006-0363,2017/08/17,156.0,12.0,1456302,Arterial,2500/01/01,FOUR MILE RIVER BR (SOUTH ABUT),Thin Surfaced Flexible,1301.0,14229.0,7.6,900,RAMM StateHighways,"MULTILINESTRING Z ((1467245.3399370902 5348235.369522887 0, 1467249.529108084 5348217.163874259 0), (1467104.5483966342 5347295.650944695 0, 1467076.1639999999 5347251.133 0, 1467069.784 5347235.44 0, 1467065.7239231337 5347219.384109992 0), (1467060.8572256109 5347194.841335948 0, 1467058.1730000004 5347165.902 0, 1467057.6343119768 5347160.1809280915 0), (1467047.0157918662 5347052.679643489 0, 1467043.7079905402 5347025.115258632 0), (1466992.3587300405 5346833.227970351 0, 1466989.4019999998 5346823.448 0, 1466985.4587407308 5346810.259015017 0), (1466981.0344461447 5346795.461115395 0, 1466969.6392629666 5346757.3477453245 0), (1466943.1337013482 5346670.392730399 0, 1466928.9848492425 5346639.26513588 0), (1466864.127121871 5346489.971275153 0, 1466862.3210000005 5346483.546 0, 1466858.238 5346460.579 0, 1466857.6184224377 5346457.224089954 0), (1466856.2812767904 5346449.983667385 0, 1466853.0070000002 5346432.254 0, 1466843.0549999997 5346399.208 0, 1466835.4283986422 5346377.54707182 0), (1466831.9929911483 5346367.7898927685 0, 1466818.3020000001 5346328.905 0, 1466790.2319999998 5346268.172 0, 1466763.3109999998 5346208.587 0, 1466727.2019999996 5346137.519 0, 1466695.0489999996 5346081.251 0, 1466653.199 5346010.821 0, 1466594.5080000004 5345905.175 0, 1466567.859370688 5345863.13565449 0), (1466565.6089630828 5345859.585540834 0, 1466541.0470000003 5345820.838 0, 1466495.4970000004 5345763.422 0, 1466447.6500000004 5345707.92 0, 1466422.0039999997 5345672.832 0, 1466412.7059261193 5345659.434404523 0), (1466393.6317734488 5345631.8856540695 0, 1466361.3960453107 5345584.987105737 0), (1466218.4151693997 5345465.55364671 0, 1466217.043413089 5345465.018278963 0), (1466157.4196061234 5345444.614462915 0, 1466147.511 5345441.335 0, 1466116.5199999996 5345431.078 0, 1466091.2429999998 5345422.712 0))",0.0,1325.3205052240519
39601,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1479031.4875372357 5376889.705430702 0, 1479032.9730000002 5376894.409 0, 1479035.9239999996 5376912.984 0)",0.0,23.740512720105777
41610,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1479830.7359999996 5377161.58940541 0, 1479830.7359999996 5377167.003 0, 1479832.9929999998 5377175.029 0, 1479837.006 5377180.797 0, 1479843.2759999996 5377186.063 0, 1479854.562 5377193.336 0, 1479918.6390000004 5377229.325 0, 1479973.688 5377261.678 0, 1479994.63 5377274.217 0, 1480015.0690000001 5377285.628 0, 1480041.779 5377299.673 0, 1480079.523 5377319.109 0, 1480094.551 5377326.841 0, 1480110.8679999998 5377337.048 0, 1480126.4220000003 5377347.449 0, 1480141.8449999997 5377357.732 0, 1480152.1799999997 5377363.547 0, 1480165.1689999998 5377376.666 0, 1480184.9819999998 5377390.711 0, 1480232.0319999997 5377422.602 0, 1480313.364 5377478.553 0)",0.0,583.7449950521384
41833,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Secondary Collector,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"MULTILINESTRING Z ((1489128.153089476 5377826.886300339 0, 1489188.0996060877 5377848.958702303 0), (1489193.2460044834 5377850.853614309 0, 1489247.3559999997 5377870.777 0, 1489253.7460000003 5377873.13 0))",0.0,128.3517715144072
41874,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1487377.3325115154 5377423.947670535 0, 1487365.795 5377454.738 0)",0.0,32.880975662443035
41586,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1489254.9611401292 5377857.405799357 0, 1489247.3559999997 5377870.777 0)",0.0,15.382690369817764
41924,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1480513.4641775414 5377531.668325754 0, 1480497.886 5377560.169 0, 1480490.87 5377573.025 0, 1480485.9409999996 5377581.036 0, 1480481.2980000004 5377585.771 0)",0.0,63.16360155076974
157639,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1480522.6357537634 5377537.4739422565 0, 1480521 5377551.705 0, 1480518.1399999997 5377590.185 0)",0.0,52.910895515404626
41834,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1489253.7460000003 5377873.13 0, 1489308.1103236664 5377893.1470162645 0)",0.0,57.932379787202464
41611,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1481151.6689999998 5378083.216 0, 1481268.6009999998 5378169.523 0, 1481411.0379999997 5378276.677 0, 1481463.7249999996 5378312.753 0, 1481517.4009999996 5378355.2 0, 1481547.9191811273 5378377.914336403 0)",0.0,493.9055956009877
40878,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1495770.542429683 5382791.637872172 0, 1495768.1679999996 5382794.782 0, 1495757.2019999996 5382809.041 0, 1495731.13 5382840.141 0, 1495724.063 5382849.602 0)",0.0,74.319862813903
40845,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Low Volume,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1496111.859217038 5383433.991545298 0, 1496103.4730000002 5383442.097 0)",0.0,11.66306272503681
39270,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"LINESTRING Z (1497987.5985276178 5384961.583898259 0, 1497987.6647812885 5384961.310943406 0)",0.0,0.2808805810268988
42520,0000/00/00,0,,,,,,0,0,0,0000/00/00,0000/00/00,,,0000/00/00,0.0,0.0,0,Access,0000/00/00,,,0.0,0.0,0.0,055,Buller District,"MULTILINESTRING Z ((1498044.9418758007 5385011.609533219 0, 1498044.3944001817 5385011.269758998 0), (1498002.9554426414 5384985.551920637 0, 1497994.6008485213 5384980.366893939 0))",0.0,10.477130848827256
102999,2016/08/04,927,1606229.16,5233684.38,1606190.97,5233742.04,Local Authority,1744,173,98,0000/00/00,2016/08/04,THE PARADE,BEACH ROAD - MOTUNAU BEACH,2016/08/04,1.0,3.3,1079316,Low Volume,2500/01/01,START OF SEAL,Thin Surfaced Flexible,30.0,2.0,3.8,058,Hurunui District,"LINESTRING Z (1606190.8190000001 5233741.937 0, 1606228.9160000002 5233684.219 0, 1606230.8490000004 5233681.291 0)",0.0,72.66593574559536
100048,2016/08/04,536,1606077.31,5233660.8998,1606077.62,5233799.45,Local Authority,1299,132,0,0000/00/00,2016/08/04,END OF SEAL,ISLAND TERRACE,2016/08/04,6.0,5.5,1082111,Low Volume,2500/01/01,LINDSAY TCE,Thin Surfaced Flexible,110.0,15.0,5.5,058,Hurunui District,"LINESTRING Z (1606078.761157653 5233667.21545771 0, 1606078.6749999998 5233664.39 0)",0.0,2.8267710230187366
102998,2016/08/04,926,1606190.973,5233742.0389,1606162.9536,5233784.3119,Local Authority,1744,98,43,0000/00/00,2016/08/04,START OF SEAL,BEACH ROAD - MOTUNAU BEACH,2016/08/04,0.0,0.0,1079310,Low Volume,2500/01/01,END OF SEAL,Unsealed,0.0,0.0,10.0,058,Hurunui District,"LINESTRING Z (1606165.956680148 5233779.603730437 0, 1606190.8190000001 5233741.937 0)",0.0,45.13222274916462
116782,2016/08/04,123,1606202.0597,5233666.7898,1606446.89,5233877.39,Local Authority,1610,310,0,0000/00/00,2016/08/04,END OF SEAL,THE PARADE,2016/08/04,14.0,7.0,1085986,Access,2500/01/01,BOAT YARD ENTRANCE,Thin Surfaced Flexible,200.0,62.0,6.8,058,Hurunui District,"LINESTRING Z (1606284.2856202298 5233716.476171389 0, 1606253.6279999996 5233695.242 0, 1606230.8490000004 5233681.291 0, 1606214.7580000004 5233673.272 0, 1606192.2010000004 5233665.479 0)",0.0,105.84850488733616
134477,2016/08/04,10441,1617020.5227,5424502.4421,1618402.6883,5426950.208,Crown,3450,11060,8145,0000/00/00,2016/08/04,Link road onramp,006-0116/06.00-D,2016/08/04,669.0,6.0,1455358,Regional,2500/01/01,End of passing lane (drop chamber RHS),Thin Surfaced Flexible,11150.0,32502.0,13.2,900,RAMM StateHighways,"MULTILINESTRING Z ((1618378.8323441902 5426915.96040181 0, 1618254.761 5426746.858 0, 1618232.295125444 5426716.139586949 0), (1617808.8769175643 5426138.65948771 0, 1617791.3739999998 5426114.891 0, 1617773.9387292443 5426091.214741191 0))",0.0,306.7143000914502
135215,2016/08/04,6177,1617670.8323,5425882.4657,1618270.8486,5426754.1343,Crown,3453,9423,8362,0000/00/00,2016/08/04,Saxton Road Offramp,006-0116/05.62-I,2016/08/04,669.0,6.0,1455294,Regional,2500/01/01,End of Passing Lane (CP44 LHS),Thin Surfaced Flexible,11150.0,11830.0,13.7,900,RAMM StateHighways,"MULTILINESTRING Z ((1618271.7089999998 5426753.491 0, 1618242.792765156 5426714.820164646 0), (1617808.020239344 5426121.768246495 0, 1617794.415 5426103.077 0, 1617784.626638088 5426090.027195709 0))",0.0,87.71782395462047
